10:43:04,1151
10:43:06,11458
10:43:08,14938
10:43:10,19740
10:43:13,18490
10:43:15,19307
10:43:17,13914
10:43:19,14633
10:43:21,2997
10:43:23,23446
10:43:25,1118
10:43:27,15806
10:43:30,8233
10:43:32,20964
10:43:34,2061
10:43:36,28963
10:43:38,9175
10:43:40,21960
10:43:42,14053
10:43:44,8484
10:43:47,8820
10:43:49,3577
10:43:51,4296
10:43:53,1524
10:43:55,27122
10:43:57,15159
10:43:59,22423
10:44:01,30506
10:44:04,11400
10:44:06,4959
10:44:08,5628
10:44:10,4372
10:44:12,16961
10:44:14,23249
10:44:16,6227
10:44:18,13347
10:44:21,18496
10:44:23,26842
10:44:25,15566
10:44:27,28479
10:44:29,11248
10:44:31,4374
10:44:33,11104
10:44:35,23229
10:44:38,20637
10:44:40,32239
10:44:42,21404
10:44:44,19591
10:44:46,12510
10:44:48,28009
10:44:50,30660
10:44:52,2333
10:44:55,13641
10:44:57,24167
10:44:59,7324
10:45:01,6737
10:45:03,15345
10:45:05,17917
10:45:07,32525
10:45:09,23715
10:45:12,17015
10:45:14,4323
10:45:16,2372
10:45:18,488
10:45:20,18396
10:45:22,4489
10:45:24,867
10:45:26,25417
10:45:29,6832
10:45:31,5250
10:45:33,27166
10:45:35,13265
10:45:37,20368
10:45:39,19956
10:45:41,126
10:45:43,748
10:45:46,25637
10:45:48,7590
10:45:50,7028
10:45:52,28646
10:45:54,15348
10:45:56,11595
10:45:58,9219
10:46:00,9745
10:46:03,8604
10:46:05,26473
10:46:07,8965
10:46:09,3476
10:46:11,17684
10:46:13,14068
10:46:15,25345
10:46:17,9668
10:46:20,487
10:46:22,26328
10:46:24,5691
10:46:26,25598
10:46:28,23911
10:46:30,28934
10:46:32,8508
10:46:34,20097
10:46:37,6314
10:46:39,25163
10:46:41,26844
10:46:43,19155
10:46:45,29521
10:46:47,20017
10:46:49,28248
10:46:51,24283
10:46:54,8703
10:46:56,31375
10:46:58,10577
10:47:00,25362
10:47:02,5799
10:47:04,12231
10:47:06,30445
10:47:08,15968
10:47:11,24958
10:47:13,3644
10:47:15,26764
10:47:17,2075
10:47:19,30566
10:47:21,5927
10:47:23,6105
10:47:25,1076
10:47:28,13030
10:47:30,7967
10:47:32,8965
10:47:34,17173
10:47:36,12019
10:47:38,4625
10:47:40,5656
10:47:42,678
10:47:45,15947
10:47:47,6967
10:47:49,8473
10:47:51,24189
10:47:53,12815
10:47:55,25219
10:47:57,25605
10:47:59,15808
10:48:02,10611
10:48:04,27728
10:48:06,23850
10:48:08,8407
10:48:10,21395
10:48:12,7352
10:48:14,32126
10:48:17,909
10:48:19,30935
10:48:21,7402
10:48:23,30174
10:48:25,25236
10:48:27,21295
10:48:29,22758
10:48:31,20723
10:48:34,14078
10:48:36,6641
10:48:38,16666
10:48:40,4786
10:48:42,6254
10:48:44,20491
10:48:46,23172
10:48:48,16786
10:48:50,2373
10:48:53,16199
10:48:55,7384
10:48:57,29968
10:48:59,10074
10:49:01,19998
10:49:03,9221
10:49:05,6445
10:49:08,28433
10:49:10,4319
10:49:12,30124
10:49:14,8537
10:49:16,25831
10:49:18,2065
10:49:20,7143
10:49:22,4858
10:49:24,26500
10:49:27,15789
10:49:29,10660
10:49:31,7489
10:49:33,22847
10:49:35,28375
10:49:37,18876
10:49:39,98
10:49:42,5084
